order_id	quantity	price
328	2	14.969999
329	2	14.969999
330	2	10.68
331	2	18.0
332	2	10.08
333	2	12.2
334	2	18.0
335	2	12.48
336	2	17.5
337	2	22.5
338	7	28.32
339	1	11.08
340	2	13.2
341	1	11.08
342	2	12.48
343	7	54.05
344	3	25.97
345	3	16.15
346	4	30.2
347	2	15.7
348	2	16.98
349	2	10.88
350	4	15.0
351	2	13.7
352	3	22.95
353	2	18.0
354	2	18.0
355	2	18.5
356	2	20.47
357	2	22.5
358	3	24.25
359	3	12.15
360	3	21.25
361	2	12.75
362	2	22.5
363	4	24.64
364	2	13.2
365	2	12.5
366	3	26.75
367	4	23.5
368	2	16.98
369	3	23.96
370	2	13.2
371	2	10.68
372	2	20.5
373	2	15.7
374	2	13.0
375	2	14.7
376	4	20.16
377	3	26.97
378	2	10.18
379	7	38.95
380	4	24.15
381	3	20.369999
382	2	12.58
383	2	13.2
384	4	30.9
385	2	10.18
386	2	16.98
387	4	33.5
388	2	10.08
389	6	35.8
390	2	12.48
391	2	12.98
392	3	11.2699995
393	2	10.08
394	2	18.0
395	2	11.38
396	4	25.0
397	2	18.5
398	2	12.75
399	2	12.48
400	3	31.75
401	2	17.5
402	5	35.15
403	2	11.38
404	3	22.65
405	2	12.5
406	2	13.0
407	2	23.0
408	3	23.75
409	2	19.47
410	3	18.75
411	2	16.98
412	4	16.2
413	3	24.25
414	2	10.88
415	2	13.7
416	2	18.0
417	2	10.68
418	2	17.5
419	3	20.369999
420	2	15.7
421	2	13.2
422	2	15.74
423	2	19.47
424	3	11.2699995
425	2	13.7
426	3	12.95
427	2	12.48
428	3	25.65
429	1	11.48
430	3	12.15
431	3	14.65
432	3	23.99
433	2	10.68
434	2	20.5
435	2	12.07
436	2	11.88
437	3	12.15
438	2	22.46
439	2	19.47
440	3	21.45
441	2	16.2
442	1	11.48
443	3	24.45
444	2	10.68
445	3	14.7
446	2	13.9
447	2	11.38
448	3	12.95
449	3	12.15
450	5	15.84
451	3	23.45
452	2	13.0
453	1	10.58
454	2	11.38
455	2	16.2
456	2	22.5
457	3	26.25
458	2	17.5
459	2	22.5
460	3	22.45
461	2	13.0
462	3	25.45
463	2	10.68
464	2	15.7
465	2	15.24
466	3	22.45
467	3	27.95
468	3	28.09
469	3	15.7
470	2	13.2
471	5	24.15
472	2	19.97
473	2	13.7
474	1	11.48
475	3	21.45
476	2	17.48
477	2	17.48
478	4	28.04
479	3	20.46
480	3	12.15
481	5	35.39
482	4	23.2
483	2	22.96
484	3	11.17
485	6	24.44
486	2	13.2
487	2	20.5
488	6	50.9
489	2	16.98
490	2	10.68
491	10	102.0
492	1	10.98
493	2	15.7
494	2	19.47
495	2	12.38
496	5	17.55
497	3	21.95
498	3	26.95
499	2	13.7
500	3	12.15
501	2	14.84
502	2	13.0
503	2	15.7
504	2	22.96
505	2	12.2
506	3	20.95
507	4	25.5
508	2	11.38
509	4	25.0
510	2	12.48
511	17	104.59
512	1	10.98
513	3	20.369999
514	3	20.15
515	2	13.2
516	2	10.18
517	2	16.88
518	1	10.98
519	3	26.949999
520	3	19.689999
521	2	17.5
522	3	14.95
523	2	10.18
524	2	13.7
525	2	10.08
526	2	14.2
527	3	26.05
528	1	10.98
529	3	31.25
530	4	22.3
531	2	12.48
532	2	10.68
533	2	10.18
534	3	34.89
535	4	24.4
536	2	13.2
537	2	13.2
538	1	10.98
539	2	19.97
540	2	13.7
541	2	23.64
542	2	17.48
543	2	18.0
544	2	17.5
545	3	27.95
546	4	25.5
547	2	10.68
548	2	13.9
549	5	28.15
550	2	12.2
551	2	20.0
552	4	31.9
553	3	16.56
554	2	12.2
555	3	19.17
556	1	10.98
557	2	14.2
558	2	10.68
559	3	12.15
560	5	23.45
561	10	52.45
562	2	22.96
563	3	19.65
564	2	13.0
565	2	18.5
566	2	18.24
567	3	18.07
568	1	10.98
569	3	12.15
570	2	12.75
571	2	22.5
572	2	16.98
573	4	13.0
574	4	13.4
575	3	18.8
576	5	46.53
577	11	71.15
578	2	22.5
